location,type,area,constructionyear,sellingyear,price
Zografou,House,71,1975,2017,5000
Zografou,House,113,1979,2017,97500
Zografou,House,46,1976,2017,23000
Zografou,House,36,1969,2017,5000
Zografou,House,45,1970,2017,41000
Zografou,House,93,1952,2017,55000
Zografou,House,76,1960,2017,48000
Zografou,House,54,2011,2017,42828
Zografou,House,28,1967,2017,1000
Zografou,House,112,1980,2017,55000
Zografou,House,25,1973,2017,4000
Zografou,House,49,1961,2017,24000
Zografou,House,51,1973,2017,40000
Zografou,House,70,1971,2017,35000
Zografou,House,50,1969,2017,18000
Zografou,House,20,1970,2017,7000
Zografou,House,70,1965,2017,26000
Zografou,House,77,1976,2017,15000
Zografou,House,53,1958,2017,26000
Zografou,House,65,1960,2017,38000
Zografou,House,85,1986,2017,57500
Zografou,House,34,1973,2017,19000
Zografou,House,48,1969,2017,35000
Zografou,House,63,1973,2017,67000
Zografou,House,87,2011,2017,99417
Zografou,House,69,1981,2017,45075
Zografou,House,44,1964,2017,15500
Zografou,House,52,1978,2017,40000
Zografou,House,30,1964,2017,17250
Zografou,House,75,1972,2017,58000
Zografou,House,47,1970,2017,17000
Zografou,House,30,1965,2017,6000
Zografou,House,51,1978,2017,36720
Zografou,House,20,1965,2017,13158
Zografou,House,52,1968,2017,25000
Zografou,House,71,1969,2017,10000
Zografou,House,44,1972,2017,3500
Zografou,House,96,1967,2017,50000
Zografou,House,34,1972,2017,20000
